lat;lon;cidade;estado;endereco
-22.0026288;-47.8829227;SAÉO CARLOS;SP;R. ANTONIO BLANCO
-22.0197101;-47.8934761;SAÉO CARLOS;SP;R. JESUINO DE ARRUBA
-22.0035034;-47.8958322;SAÉO CARLOS;SP;MARGINAL BOSQUE
-22.0210272;-47.884925;SAÉO CARLOS;SP;AV. COMENDADOR ALFREDO MAFFEI
-22.02384;-47.8915936;SAÉO CARLOS;SP;R. EPISCOPAL
-22.0035595;-47.8956349;SAÉO CARLOS;SP;AV. TRABALHADOR SAO CARLENSE
-22.0043389;-47.8894251;SAÉO CARLOS;SP;AV. TRABALHADOR SAO CARLENSE
-22.0052621;-47.9207522;SAÉO CARLOS;SP;AV. BRUNNO RUGIERO FILHO
-22.0081285;-47.9162054;SAÉO CARLOS;SP;AV. BRUNNO RUGIERO FILHO
-22.014741;-47.8768415;SAÉO CARLOS;SP;R. DA IMPRENSA
-22.233457;-45.933773;POUSO ALEGRE;MG;AV.  DR LISBOA - ED JOAQUIM NELSON
-18.9056518;-48.2636969;UBERL¬NDIA;MG;AV. RONDON PACHECO PROX AO TEATRO MUNICIPAL
-21.786123;-46.547637;PO«OS DE CALDAS;MG;AV.  JOSE REMIGIO SENTIDO CENTRO
-19.74309742;-47.93341508;UBERABA;MG;AV. LEOPOLDINO DE OLIVEIRA,  - PLANO REGIONAL
-22.853775;-43.313925;RIO DE JANEIRO;RJ;AV. PST, MARTIN LUTHER KING JUNIOR
-22.85475321;-43.25021705;RIO DE JANEIRO;RJ;AV. DOS CAMPE’ES
-22.85481662;-43.25112881;RIO DE JANEIRO;RJ;AV. DOS CAMPE’ES
-22.85797317;-43.47078423;RIO DE JANEIRO;RJ;AV. BRASIL
-22.79872528;-43.1836644;RIO DE JANEIRO;RJ;ESTR. DO DENDE
-22.86113875;-43.32992298;RIO DE JANEIRO;RJ;R. MIN, EDGARD ROMERO
-22.86438576;-43.25290931;RIO DE JANEIRO;RJ;R. BRUXELAS
-22.8140724;-43.29506724;RIO DE JANEIRO;RJ;AV. BRASIL
-22.86458695;-43.25284526;RIO DE JANEIRO;RJ;AV. BRUXELAS
-22.814645;-43.32704;RIO DE JANEIRO;RJ;ROD. PRES, DUTRA
-22.8149307;-43.29321111;RIO DE JANEIRO;RJ;AV. BRASIL
-22.866802;-43.56142835;RIO DE JANEIRO;RJ;ESTR. DO PEDREGOSO
-22.8713288;-43.34094988;RIO DE JANEIRO;RJ;ESTR. DO PORTELA
-22.87164;-43.340665;RIO DE JANEIRO;RJ;ESTR. DO PORTELA
-22.84015346;-43.55833261;RIO DE JANEIRO;RJ;ESTR. DO MENDANHA
-22.87203;-43.28789;RIO DE JANEIRO;RJ;AV. PST, MARTIN LUTHER KING JUNIOR
-22.909615;-43.23574;RIO DE JANEIRO;RJ;AV. PRES, CASTELO BRANCO
-22.89717812;-43.2837948;RIO DE JANEIRO;RJ;R. ARQUIAS CORDEIRO
-22.91018018;-43.2310689;RIO DE JANEIRO;RJ;AV. PRES, CASTELO BRANCO
-22.87687697;-43.55448679;RIO DE JANEIRO;RJ;ESTR. DO MENDANHA
-22.8982237;-43.2815423;RIO DE JANEIRO;RJ;R. ARQUIAS CORDEIRO
-22.8821856379234;-43.3322215156825;RIO DE JANEIRO;RJ;AV. ERNANI CARDOSO
-22.910309;-43.229085;RIO DE JANEIRO;RJ;AV. PRES, CASTELO BRANCO
-22.902245;-43.182795;RIO DE JANEIRO;RJ;AV. PRES, VARGAS
-22.882534;-43.2757957;RIO DE JANEIRO;RJ;AV. DOM HELDER CAMARA
-22.91211502;-43.36030965;RIO DE JANEIRO;RJ;R. CANDIDO BENICIO
-22.90309935;-43.26880922;RIO DE JANEIRO;RJ;R. VINTE E QUATRO DE MAIO
